image_id,ratio_area,color_min_R,color_max_R,color_mean_R,color_median_R,color_std_R,color_min_G,color_max_G,color_mean_G,color_median_G,color_std_G,color_min_B,color_max_B,color_mean_B,color_median_B,color_std_B,inscribed_circle_radius_norm,symmetry_loss_min,symmetry_angle,symmetry_score,hu_1,eccentricity,glcm_energy,hist_variance,hue_skewness
50,0.019849666666666668,10,255,122.12030523329024,121.0,54.725968115263775,4,250,95.00922373700912,88.0,53.27790107222978,4,255,104.86928317187422,102.0,56.37423428848996,0.17998963017617503,0.17218127426133267,-5.0,0.8278187257386673,3.0802290572659,0.6188744085538238,0.35213880887675436,2779.5233467355883,-0.32704854011535645
51,0.021936333333333332,5,247,129.27458219386205,135.0,52.81303187524382,2,248,108.56389965056213,108.0,50.47510374818874,2,255,131.84016256457005,134.0,58.27740746167138,0.25626399153369966,0.09979632358961765,-5.0,0.9002036764103823,3.06266384142479,0.653951529846658,0.3309768875095016,2607.740955738149,-1.3378779888153076
52,0.020392,7,245,109.41459388451803,110.0,47.05326409601978,0,240,97.12124115641325,98.0,47.878262351351786,6,255,105.92522253252949,102.0,51.522449916350226,0.20703727154692342,0.19692533949090107,85.0,0.8030746605090989,3.071846661240166,0.5382934719471316,0.2683366442070781,2219.0475515499957,-0.4655247926712036
53,0.0164825,19,255,124.50118037195618,118.0,48.61054301924637,0,234,105.12006177364157,102.0,46.84144240291346,1,241,105.59028708061409,98.0,46.93094627197052,0.2685808019435152,0.19557351110188836,85.0,0.8044264888981116,3.0822378797473338,0.6607531241964559,0.2213115793740109,2156.6582663725712,0.14006870985031128
54,0.01179075,7,234,111.74061957938692,104.0,55.1259767671072,0,240,99.25792138145925,91.0,55.87441524055837,0,238,84.50832853463717,70.0,53.71133895709927,0.17818436799225984,0.1672150717471398,-65.0,0.8327849282528602,3.010132271212838,0.8018736877607766,0.39914423925400716,3012.1176832756887,1.9650776386260986
55,0.013451333333333333,4,220,71.99578802622572,67.0,40.430511490716476,0,191,47.83936585018381,38.0,38.24046413286579,0,170,33.59725478415183,22.0,31.983977335899255,0.17848456822908843,0.15947690217391308,80.0,0.8405230978260869,3.083334962370482,0.5763872069320951,0.39457846812953346,1377.084167551212,4.582400798797607
56,0.008527833333333333,0,255,92.56694378773373,80.0,54.072098665425344,0,255,76.87256012973565,67.0,50.858314902382254,0,255,59.93343721302827,47.0,43.96164796732931,0.2898837725321452,0.33759259259259267,-60.0,0.6624074074074073,3.0477815585219252,0.7309688490819852,0.3124384838844914,2529.87671001003,3.025341033935547
57,0.007866333333333333,0,255,94.59987397939193,83.0,54.85234327565486,0,255,79.68959747535185,69.0,52.263999680260156,0,255,62.773041120842116,49.0,45.391002277158094,0.27291756206088597,0.2931596091205212,-70.0,0.7068403908794788,3.015971299040398,0.783948415713065,0.34150576512554665,2657.3748282194083,3.0027966499328613
58,0.010403666666666667,3,255,74.83208879030417,68.0,49.490717463724934,1,255,60.47427699724132,54.0,43.822756072267424,0,255,52.16592127547977,39.0,43.68938706459818,0.2384326659053205,0.1881598053451592,70.0,0.8118401946548408,3.037061098554192,0.37075179611912373,0.3264649011909128,2022.972070980709,1.4086004495620728
59,0.0114715,3,255,84.08314875198803,74.0,57.53179875339592,0,255,68.27978779802322,60.0,51.71918850786266,0,255,62.4159398397955,43.0,54.71467168299509,0.20871631622314454,0.21077850877192983,75.0,0.7892214912280702,2.969099399095012,0.4144546361803955,0.373825428827887,2807.0491791513195,0.9613078236579895
60,0.007962833333333334,6,255,107.673369803979,104.0,54.97286454517738,6,255,85.08701700801238,78.0,51.04041888960815,0,255,68.89293634024393,57.0,46.3270527726639,0.22654184354405824,0.2670305055820237,25.0,0.7329694944179763,3.097035782512659,0.5549519516865681,0.24691822849747397,2590.5972023627664,2.123918294906616
