image_id,ratio_area,hu_1,color_median_B,inscribed_circle_radius_norm,color_std_R,glcm_homogeneity,color_mean_G,glcm_correlation,glcm_energy,color_min_G,color_min_R,hu_4,hist_entropy,color_mean_B,hist_mean
34,0.0080445,2.962198943258844,32.0,0.1927457119058246,51.28328318791608,0.9407397270838056,65.85147638253918,0.969239283334306,0.4156720371999843,5,7,10.141298353509216,7.20993815170674,44.28084145779509,67.40656308085802
35,0.00541725,3.0802258100454556,28.0,0.3661823272705078,48.89761778210433,0.9036334767751414,57.13910181988729,0.9166892430281474,0.2145544019814813,5,5,11.943378848824258,6.961483159541146,48.103611326818545,60.34387181596611
36,0.0094573333333333,3.029807270700268,65.0,0.1790659441919384,50.74045645914898,0.9315554023764264,88.44916713267314,0.9744235769901934,0.3340274595363365,7,9,11.295440044081593,7.355001515745968,63.48035067170981,92.5791851418054
37,0.0104475,2.989608191735866,88.0,0.1030087387352658,63.65882611607312,0.9294760219261212,117.76151743157293,0.9834686880678944,0.3777141962197269,8,11,10.273044965696336,7.734135819021677,91.62915065916371,122.229487813043
38,0.01157,3.127085557120627,65.0,0.2242906508544201,46.96854465156136,0.8362525257865576,92.72809941100417,0.958323868253826,0.2237885903742496,0,0,11.40405939126708,7.472937493665643,73.70051357563568,96.27842623186324
39,0.0165848333333333,3.099899607999669,45.0,0.2762797414040079,50.42581025373424,0.8688098431323834,68.2125009419034,0.9535045017493228,0.2393121362197371,0,4,11.690828364721018,7.1984387912345955,53.35890538266395,73.78889056338382
40,0.01470125,3.0474212522733404,52.0,0.2168270400002006,38.96691885726516,0.9178011221816638,71.20340483235414,0.9696024332842478,0.2597070764610663,5,8,10.783154912098777,6.999464964077632,56.28742209197757,73.78259512792944
41,0.0093895,2.9845044653105064,62.0,0.3820754716981132,55.84409408133429,0.8845988281491743,97.91210775462396,0.9682335234313114,0.2012152664991962,5,8,10.4107851293927,7.541532609671964,77.17030536687948,98.41690143344528
42,0.013253875,3.1115730076165136,68.0,0.1923336338352512,46.360745672027114,0.887433770803431,92.41588542893484,0.9673507064047726,0.3756685536085781,0,3,11.491297844304606,7.450136812853726,76.2261302429296,95.30184513434148
43,0.0193913333333333,3.028565140598299,79.0,0.1968485810035883,47.996205771565215,0.9144956919248556,85.42298545363144,0.9714136528399352,0.4283894700930762,0,11,11.26829362812344,7.438025783927504,76.48270268992883,94.46294231508752
44,0.0125543333333333,3.0349016894508996,85.0,0.2445782362812697,48.30781380245271,0.8825853061472608,103.2921518332078,0.9700275692742184,0.358668394602203,0,9,10.680495137090317,7.47153843034891,88.42527633338533,108.68381023171852
45,0.0136154166666666,3.0694268698401066,32.0,0.2338918569136639,46.03797555479573,0.9183327775867112,74.80467892069144,0.9754067614103216,0.2543008626776019,6,9,12.69944469785342,7.201507063842538,47.337062154151106,75.92817355076122
46,0.0209344583333333,3.1182193213207547,60.0,0.2241438795256134,45.11753033008876,0.8593914701466661,84.4273430628465,0.9523709580097276,0.1752805497095094,0,5,12.091467576281085,7.342597604610152,68.47656638661482,86.89480743284925
47,0.012116,3.0763613566293735,97.0,0.2014754764617435,59.19949478932617,0.8671927225297057,82.96508845632877,0.9532966872648936,0.2616722190202879,0,3,11.742192272694693,7.477722590632291,109.71347781544152,89.571652032811
48,0.009546375,3.08100882205418,101.0,0.3033541527347288,62.732036710001275,0.8572074975004671,89.06132412998709,0.9584371645473128,0.2357105454905933,4,6,11.030900136675912,7.5667805500112255,110.6775629166812,97.51637928025411
49,0.01780525,3.1571726661275186,155.0,0.4170670166015625,38.71255890840177,0.8657088641401013,184.8975443112021,0.9869126338660016,0.1557461158041802,14,32,11.70460769436716,6.915652219435005,159.37921965486984,181.07942205323195
50,0.0198496666666666,3.0802290572659,102.0,0.179989630176175,54.725968115263775,0.9190988296336796,95.00922373700912,0.9860343951429266,0.3521388088767543,4,10,10.951923712276589,7.615208067550937,104.86928317187422,104.24964322291432
51,0.0219363333333333,3.06266384142479,134.0,0.2562639915336996,52.81303187524382,0.8877826687022619,108.56389965056212,0.977586425263376,0.3309768875095016,2,5,11.279515745589125,7.58839366945196,131.84016256457005,117.41402309328473
52,0.020392,3.071846661240166,102.0,0.2070372715469234,47.05326409601978,0.8963345170495276,97.12124115641323,0.9761716460493656,0.2683366442070781,0,7,11.567029405427654,7.521787055283173,105.92522253252947,101.80754639116284
53,0.0164825,3.0822378797473338,98.0,0.2685808019435152,48.61054301924637,0.8828930112850208,105.12006177364157,0.9813804081255572,0.2213115793740109,0,19,11.617277050365557,7.491199921990272,105.59028708061408,110.97112764699042
54,0.01179075,3.010132271212838,70.0,0.1781843679922598,55.1259767671072,0.924909826627542,99.25792138145924,0.9836270351593814,0.3991442392540071,0,7,10.715659862868788,7.598050658301845,84.50832853463717,101.30456117542738
55,0.0134513333333333,3.083334962370482,22.0,0.1784845682290884,40.43051149071648,0.9533159645912284,47.83936585018381,0.9731428176364088,0.3945784681295334,0,4,12.34281234298811,6.92402372931139,33.59725478415183,53.43590521820192
56,0.0085278333333333,3.0477815585219252,47.0,0.2898837725321452,54.072098665425344,0.8768973638331131,76.87256012973565,0.952296243497162,0.3124384838844914,0,0,10.156841653920246,7.452544215239971,59.93343721302827,79.63730192845001
57,0.0078663333333333,3.015971299040398,49.0,0.2729175620608859,54.85234327565486,0.8762869174639404,79.68959747535185,0.9485855114979672,0.3415057651255466,0,0,9.863756388175748,7.487833559182516,62.77304112084211,82.21767677302523
58,0.0104036666666666,3.037061098554192,39.0,0.2384326659053205,49.490717463724934,0.9055858914545858,60.47427699724132,0.9650963900201028,0.3264649011909128,1,3,10.249875533817445,7.229596247584686,52.16592127547977,63.82377270707127
59,0.0114715,2.969099399095012,43.0,0.2087163162231445,57.53179875339592,0.913460989041027,68.27978779802322,0.972402241215771,0.373825428827887,0,3,10.436308980398383,7.364656751194509,62.4159398397955,72.32971553896543
60,0.0079628333333333,3.097035782512659,57.0,0.2265418435440582,54.97286454517738,0.8953459982515273,85.08701700801238,0.9695807677491772,0.2469182284974739,6,6,11.83392529566659,7.550295297332792,68.89293634024393,89.99718102131754
61,0.0169968333333333,2.932426020148738,58.0,0.190855875736525,49.46879221634891,0.9598289494990472,52.75954861749401,0.978525206359485,0.4183362735705196,3,4,10.024723126097166,6.994647028523621,69.6454774737678,61.57558867720121
